ItemID,Spec,GamePhase,ItemPhase,Slot,Rank,FEPV,FHCEVP,P1max,P2max,P3max,P4max,P5max,P1maxHC,P2maxHC,P3maxHC,P4maxHC,P5maxHC,EPV
8345,Cat,1,1,Head,1,100,100,296,315,437,437,454,272,272,298,406,406,100
19288,Holy,1,1,Trinket,4,131,131,175,175,175,175,175,175,175,175,175,175,130.35
19288,Holy,2,1,Trinket,5,131,131,175,175,175,175,175,175,175,175,175,175,130.35
19288,Holy,4,2,Trinket,7,131,131,175,175,175,175,175,175,175,175,175,175,130.35
19288,Holy,4,3,Trinket,7,131,131,175,175,175,175,175,175,175,175,175,175,130.35
19288,Holy,5,4,Trinket,8,131,131,175,175,175,175,175,175,175,175,175,175,130.35
19288,Resto,2,1,Trinket,9,75,75,134,143,143,143,143,134,134,143,143,143,75
19288,Resto,3,2,Trinket,11,75,75,134,143,143,143,143,134,134,143,143,143,75
19363,Fury,1,1,Off Hand,38,900,900,1479,1678,1738,1738,1787,1479,1479,1678,1738,1738,899.62
19366,Shad,2,1,Off Hand,1,29,29,51,51,62,62,73,51,51,51,51,56,28.868
19366,Owl,1,1,Off Hand,1,34,34,56,56,81,81,81,49,49,55,61,61,33.32
19366,Shad,1,1,Off Hand,14,29,29,51,51,62,62,73,51,51,51,51,56,28.868
19366,Arc,1,1,Off Hand,15,25,25,37,37,44,49,68,37,37,37,40,49,24.08
19377,SV,1,1,Neck,4,168,153,178,211,211,211,255,178,178,211,211,211,167.25
19377,SV,2,1,Neck,5,168,153,178,211,211,211,255,178,178,211,211,211,167.25
19377,BM,1,1,Neck,6,89,74,115,126,146,146,165,90,90,126,126,126,88.25
19377,Rog,1,1,Neck,6,102,78,141,141,171,171,200,96,96,130,130,130,101.65
19377,SV,4,1,Neck,6,168,153,178,211,211,211,255,178,178,211,211,211,167.25
19377,BM,2,1,Neck,8,89,74,115,126,146,146,165,90,90,126,126,126,88.25
19377,Rog,2,1,Neck,8,102,78,141,141,171,171,200,96,96,130,130,130,101.65
19377,SV,5,1,Neck,8,168,153,178,211,211,211,255,178,178,211,211,211,167.25
19377,Cat,1,1,Neck,9,142,127,174,174,204,204,204,147,147,165,172,172,141.5
19377,Cat,2,1,Neck,10,142,127,174,174,204,204,204,147,147,165,172,172,141.5
19377,BM,3,1,Neck,12,89,74,115,126,146,146,165,90,90,126,126,126,88.25
19377,Rog,3,1,Neck,12,102,78,141,141,171,171,200,96,96,130,130,130,101.65
19377,BM,4,1,Neck,13,89,74,115,126,146,146,165,90,90,126,126,126,88.25
19377,Cat,4,1,Neck,13,142,127,174,174,204,204,204,147,147,165,172,172,141.5
19377,Rog,4,1,Neck,14,102,78,141,141,171,171,200,96,96,130,130,130,101.65
19378,Shad,1,1,Back,14,29,29,47,47,68,68,88,47,47,47,57,57,28.868
19378,Shad,2,1,Back,15,29,29,47,47,68,68,88,47,47,47,57,57,28.868
19378,Ele,1,1,Back,15,33,33,56,56,69,69,100,56,56,56,69,69,32.06
19379,Aff,1,1,Trinket,5,64,41,80,80,120,120,120,80,80,80,84,84,63.592
19379,Shad,1,1,Trinket,6,57,44,85,85,104,104,107,85,85,85,85,88,56.3072
19379,Owl,1,1,Trinket,6,64,44,85,85,109,109,109,85,85,85,85,88,63.2
19379,Dest,1,1,Trinket,6,77,53,101,101,144,144,144,101,101,101,106,106,76.648
19379,Aff,2,1,Trinket,7,64,41,80,80,120,120,120,80,80,80,84,84,63.592
19379,Fire,1,1,Trinket,7,78,54,103,110,137,137,137,103,103,110,110,110,77.24
19379,Arc,1,1,Trinket,8,29,25,62,62,67,67,85,62,62,62,62,62,28.412
19379,Aff,3,1,Trinket,8,64,41,80,80,120,120,120,80,80,80,84,84,63.592
