ItemID,Percentage1,Percentage2,Percentage3,Percentage4,Percentage5,PercentageHC1,PercentageHC2,PercentageHC3,PercentageHC4,PercentageHC5,,Phase,,Rank,FEPV,FHCEVP,P1max,P2max,P3max,P4max,P5max,P1maxHC,P2maxHC,P3maxHC,P4maxHC,P5maxHC,EPV
28673,,,,,,,,,,,Aff,1,Ranged,1,33,17,33,46,46,46,57,27,27,30,30,32,32.439
28783,,,,,,,,,,,Arc,1,Ranged,1,21,21,21,21,21,26,44,21,21,21,21,26,20.912
28783,,,,,,,,,,,Arc,1,Ranged,1,21,21,21,21,21,26,44,21,21,21,21,26,20.912
28783,,,,,,,,,,,Arc,1,Ranged,1,21,21,21,21,21,26,44,21,21,21,21,26,20.912
28673,,,,,,,,,,,Fire,1,Ranged,1,40,23,40,58,58,58,67,39,39,42,42,45,39.42
28673,,,,,,,,,,,Dest,1,Ranged,1,40,23,40,55,55,55,72,36,36,38,38,44,39.633
28187,,,,,,,,,,,Shad,1,Off Hand,1,33,24,51,51,62,62,73,51,51,51,51,56,32.3464
28484,,,,,,,,,,,Prot,1,Chest,1,223,24,223,229,247,273,273,204,204,229,247,273,222.525
32872,,,,,,,,,,,Shad,1,Ranged,1,25,25,25,34,35,35,53,25,25,26,26,31,25
32343,,,,,,,,,,,Shad,3,Ranged,1,35,25,25,34,35,35,53,25,25,26,26,31,34.9996
32343,,,,,,,,,,,Shad,3,Ranged,1,35,25,25,34,35,35,53,25,25,26,26,31,34.9996
22937,,,,,,,,,,,Shad,1,Off Hand,1,26,26,51,51,62,62,73,51,51,51,51,56,25.62
33192,,,,,,,,,,,Arc,4,Ranged,1,26,26,21,21,21,26,44,21,21,21,21,26,25.8
29982,,,,,,,,,,,Shad,2,Ranged,1,34,26,25,34,35,35,53,25,25,26,26,31,33.9742
28734,,,,,,,,,,,Aff,1,Off Hand,1,57,27,57,57,82,82,82,48,48,52,57,59,56.983
28734,,,,,,,,,,,Aff,1,Off Hand,1,57,27,57,57,82,82,82,48,48,52,57,59,56.983
19366,,,,,,,,,,,Shad,1,Off Hand,1,29,29,51,51,62,62,73,51,51,51,51,56,28.868
29330,,,,,,,,,,,Shad,1,Off Hand,1,30,30,51,51,62,62,73,51,51,51,51,56,29.426
24114,,,,,,,,,,,Ret,1,Neck,1,36,30,36,38,45,45,59,34,34,38,39,39,35.3064
29982,,,,,,,,,,,Aff,2,Ranged,1,46,30,33,46,46,46,57,27,27,30,30,32,45.842
29982,,,,,,,,,,,Aff,2,Ranged,1,46,30,33,46,46,46,57,27,27,30,30,32,45.842
29982,,,,,,,,,,,Aff,2,Ranged,1,46,30,33,46,46,46,57,27,27,30,30,32,45.842
30724,,,,,,,,,,,Fury,1,Ranged,1,33,33,33,34,34,44,69,33,33,34,34,44,32.24
28793,,,,,,,,,,,Aff,1,Ring,1,56,33,56,56,85,96,102,46,46,49,78,78,55.504
28793,,,,,,,,,,,Aff,1,Ring,1,56,33,56,56,85,96,102,46,46,49,78,78,55.504
30105,,,,,,,,,,,Fury,2,Ranged,1,34,34,33,34,34,44,69,33,33,34,34,44,33.23
30105,,,,,,,,,,,Fury,2,Ranged,1,34,34,33,34,34,44,69,33,33,34,34,44,33.23
19366,,,,,,,,,,,Owl,1,Off Hand,1,34,34,56,56,81,81,81,49,49,55,61,61,33.32
32651,,,,,,,,,,,Shad,1,Off Hand,1,34,34,51,51,62,62,73,51,51,51,51,56,33.992
34242,,,,,,,,,,,Aff,5,Back,1,96,96,60,60,81,81,96,50,50,50,65,65,95.351
32590,,,,,,,,,,,Aff,3,Back,1,81,55,60,60,81,81,96,50,50,50,65,65,80.325
30684,,,,,,,,,,,Arc,1,Wrist,1,36,36,36,37,60,60,74,36,36,37,60,60,35.639
